Country - (Currency) Area,First 60 Days US$,First 60 Days Local,>60 Days Local,Room as % of DSA,Effective Date d/mm/y,Survey Date d/mm/y,Notes
Bhutan (Bhutan Ngultrum),,,,,,,
Thimphu,119,"8,200","6,150",64,01/08/18,01/02/18,
Thimphu (Le Meridien),281,"19,300","14,500",74,01/08/18,01/02/18,1
Thimphu (Taj Tashi),428,"29,400","22,100",55,01/08/18,01/02/18,1
Paro,91,"6,230","4,670",62,01/08/18,01/02/18,
Phuentsholing,85,"5,810","4,360",61,01/08/18,01/02/18,
Elsewhere,90,"6,190","4,640",61,01/08/18,01/02/18,
Bolivia (Boliviano),,,,,,,
La Paz,165,"1,140",860,62,01/04/18,01/07/17,
Cochabamba,110,760,570,61,01/04/18,01/07/17,
Santa Cruz,171,"1,180",880,52,01/04/18,01/07/17,
Elsewhere,87,600,449,54,01/04/18,01/07/17,
Bosnia and Herzegovina (Convertible Mark),,,,,,,
Sarajevo,124,207,155,55,01/08/18,01/08/17,
Banja Luka,110,184,139,47,01/08/18,01/08/17,
Mostar,120,201,150,43,01/08/18,01/08/17,
"Sarajevo (Bristol, Central, Europe, Marriott Courtyard)",155,259,194,67,01/08/18,01/08/17,1
Travnik,85,142,107,56,01/08/18,01/08/17,
Elsewhere,90,150,114,55,01/08/18,01/08/17,
Botswana (Botswana Pula),,,,,,,
Gaborone,217,"2,220","1,670",66,01/08/18,01/04/18,
Francistown,188,"1,920","1,440",68,01/08/18,01/04/18,
"Francistown (Marang, Thapama Lodge)",223,"2,280","1,710",69,01/08/18,01/04/18,1
Ghanzi,202,"2,070","1,550",69,01/08/18,01/04/18,
Jwaneng,205,"2,100","1,580",73,01/08/18,01/04/18,
Kasane,227,"2,320","1,740",65,01/08/18,01/04/18,
Kasane (Chobe Game Lodge),493,"5,050","3,790",87,01/08/18,01/04/18,"1,7"
"Kasane (Chobe Marina Lodge, Chobe Safari Lodge, Mowana Lodge) Resident",255,"2,610","1,960",65,01/08/18,01/04/18,1
Mahalapye,187,"1,910","1,430",70,01/08/18,01/04/18,
Maun,205,"2,100","1,580",58,01/08/18,01/04/18,
Nata,167,"1,710","1,280",60,01/08/18,01/04/18,
Palapye,186,"1,900","1,430",64,01/08/18,01/04/18,
Selebi-Phikwe,169,"1,730","1,300",63,01/08/18,01/04/18,
Shakawe,260,"2,660","2,000",61,01/08/18,01/04/18,
Tsabong,205,"2,100","1,580",68,01/08/18,01/04/18,
Elsewhere,148,"1,510","1,130",60,01/08/18,01/04/18,
Brazil (Brazilian Real),,,,,,,
Brasilia,151,560,420,57,01/08/18,01/08/18,
Campinas,129,478,359,59,01/08/18,01/08/18,
Fortaleza,125,464,348,55,01/08/18,01/08/18,
Porto Allegre,128,476,357,56,01/08/18,01/08/18,
Recife,140,520,390,60,01/08/18,01/08/18,
Rio De Janeiro,159,590,443,60,01/08/18,01/08/18,
Sao Paulo,153,570,428,63,01/08/18,01/08/18,
Elsewhere,107,398,299,57,01/08/18,01/08/18,
British Virgin Islands (US Dollar),,,,,,,
All Areas (15 Dec. - 15 Apr.),464,464,348,70,01/10/17,01/10/17,
All Areas (16 Apr. -14 Dec.),422,422,317,69,01/10/17,01/10/17,
Brunei (Brunei Dollar),,,,,,,
All Areas,181,247,185,66,01/08/18,01/07/15,
Bulgaria (New Lev),,,,,,,
Sofia,216,361,271,66,01/08/18,01/12/17,
"Sofia (Hilton, Arena di Serdika)",262,438,329,70,01/08/18,01/12/17,1
"Burgas, Plovdiv, Stara Zagora, Varna",104,174,130,56,01/08/18,01/12/17,
Elsewhere,78,130,99,52,01/08/18,01/12/17,
Burkina Faso (CFA Franc(XOF)),,,,,,,
Ouagadougou,268,"150,000","113,000",56,01/08/18,01/05/18,
Ouagadougou (Laico Ouaga 2000),448,"251,000","188,000",66,01/08/18,01/05/18,1
Bobo-Dioulasso,143,"79,900","59,900",50,01/08/18,01/05/18,
Elsewhere,124,"69,700","52,300",54,01/08/18,01/05/18,
Burundi (Burundi Franc),,,,,,,
Bujumbura,235,"415,000","311,000",58,01/08/18,01/08/17,
Gitega and Ngozi,94,"166,000","125,000",28,01/08/18,01/08/17,
Rumonge,221,"390,000","293,000",50,01/08/18,01/08/17,
Elsewhere,61,"108,000","81,300",27,01/08/18,01/08/17,
Cambodia (Cambodian Riel),,,,,,,
Phnom Penh,146,"592,000","446,000",57,01/08/18,01/09/17,
Phnom Penh (Himawari),292,"1,184,000","888,000",70,01/08/18,01/09/17,1
"Phnom Penh (Intercontinental, Raffles Le Royal, Sofitel Phnom Penh Phokeethra)",303,"1,229,000","920,000",66,01/08/18,01/09/17,1
Phnom Penh (Sokha Phnom Penh),228,"925,000","693,000",66,01/08/18,01/09/17,1
Siem Reap,132,"535,000","401,000",62,01/08/18,01/09/17,
Siem Reap (Sofitel Phokeethra Royal Angkor),348,"1,411,000","1,058,000",67,01/08/18,01/09/17,1
"Siem Reap (Sokha, Victoria Angkor)",189,"766,000","576,000",63,01/08/18,01/09/17,1
Sihanoukville,116,"470,000","353,000",37,01/08/18,01/09/17,
"Sihanoukville (Independence, Palm Palace)",135,"547,000","410,000",50,01/08/18,01/09/17,1
Sihanoukville (Sokha Beach),233,"945,000","710,000",55,01/08/18,01/09/17,1
Elsewhere,57,"231,000","174,000",46,01/08/18,01/09/17,
Cameroon (CFA Franc(XAF)),,,,,,,
Yaounde,221,"124,000","93,000",54,01/08/18,01/07/18,
Yaounde (Hotel Hilton),350,"196,000","147,000",54,01/08/18,01/07/18,1
Douala,194,"109,000","81,800",56,01/08/18,01/07/18,
Elsewhere,122,"68,100","51,100",55,01/08/18,01/07/18,
Canada (Canadian Dollar),,,,,,,
Ottawa,349,455,341,59,01/08/18,01/08/18,
Calgary,269,350,263,55,01/08/18,01/08/18,
Halifax,272,354,266,59,01/08/18,01/08/18,
Montreal,321,418,314,59,01/08/18,01/08/18,
Toronto,357,465,349,62,01/08/18,01/08/18,
Vancouver,371,483,362,62,01/08/18,01/08/18,
Elsewhere,247,321,241,53,01/08/18,01/08/18,
Cape Verde (CV Escudo),,,,,,,
Praia,188,"17,700","13,300",48,01/08/18,01/05/17,
Boa Vista Island,228,"21,500","16,100",61,01/08/18,01/05/17,
Mindelo,176,"16,600","12,500",50,01/08/18,01/05/17,
Santa Maria (Sal),254,"23,900","17,900",61,01/08/18,01/05/17,
Elsewhere,135,"12,700","9,530",38,01/08/18,01/05/17,
Cayman Islands (CaymanI. Dollar),,,,,,,
All Areas (1 Dec. - 30 Apr.),388,318,239,77,01/08/12,01/07/12,
All Areas (1 May - 30 Nov.),307,252,189,74,01/08/12,01/07/12,
Central African Rep. (CFA Franc(XAF)),,,,,,,
Bangui,203,"114,000","85,500",47,01/08/18,01/02/18,
Bangui (Ledger Plaza),325,"182,000","137,000",63,01/08/18,01/02/18,1
Boali,113,"63,400","47,600",47,01/08/18,01/02/18,
Elsewhere,90,"50,600","38,000",59,01/08/18,01/02/18,
Chad (CFA Franc(XAF)),,,,,,,
N'djamena,170,"95,400","71,600",59,01/08/18,01/02/18,
"N'Djaména (Hilton, La Residence, Radisson Blu)",271,"152,000","114,000",58,01/08/18,01/02/18,1
Elsewhere,127,"71,300","53,500",49,01/08/18,01/02/18,
Chile (Chilean Peso),,,,,,,
Santiago,323,"207,000","155,000",58,01/08/18,01/05/17,
Elsewhere,220,"141,000","106,000",58,01/08/18,01/05/17,
China (Renminbi),,,,,,,
Beijing,230,"1,570","1,180",55,01/08/18,01/09/16,
Changsha,168,"1,150",860,55,01/08/18,01/09/16,
Chengdu,218,"1,490","1,120",57,01/08/18,01/09/16,
Dalian,199,"1,360","1,020",49,01/08/18,01/09/16,
Fuzhou,222,"1,510","1,140",53,01/08/18,01/09/16,
Guangzhou,220,"1,500","1,130",54,01/08/18,01/09/16,
Haikou,245,"1,670","1,250",53,01/08/18,01/09/16,
Hangzhou,215,"1,470","1,100",58,01/08/18,01/09/16,
Jinan,172,"1,170",880,53,01/08/18,01/09/16,
Kunming,229,"1,560","1,170",61,01/08/18,01/09/16,
Lhasa,219,"1,490","1,120",62,01/08/18,01/09/16,
Nanjing,163,"1,110",830,49,01/08/18,01/09/16,
Nanning,180,"1,230",920,60,01/08/18,01/09/16,
Quingdao,208,"1,420","1,060",62,01/08/18,01/09/16,
Sanya,198,"1,350","1,020",54,01/08/18,01/09/16,
Shanghai,239,"1,630","1,220",61,01/08/18,01/09/16,
Shenyang,193,"1,320",990,52,01/08/18,01/09/16,
Shenzhen,220,"1,500","1,130",62,01/08/18,01/09/16,
Suzhou,184,"1,250",940,57,01/08/18,01/09/16,
Tianjin,186,"1,270",950,51,01/08/18,01/09/16,
Wu Han,170,"1,160",870,54,01/08/18,01/09/16,
Xi'An,203,"1,380","1,040",55,01/08/18,01/09/16,
Xiamen,182,"1,240",930,49,01/08/18,01/09/16,
Elsewhere,143,980,730,54,01/08/18,01/09/16,
"China, Hong Kong (HongKong Dollar)",,,,,,,
Hong Kong (SAR),371,"2,910","2,180",61,01/07/18,01/09/16,
"China, Macau (Pataca)",,,,,,,
Macau (SAR),240,"1,940","1,460",62,01/08/18,01/09/16,
Colombia (Colombian Peso),,,,,,,
Bogota,165,"475,000","356,000",75,01/08/18,01/08/18,
Barranquilla,108,"311,000","233,000",73,01/08/18,01/08/18,
Bucaramanga,113,"324,000","243,000",73,01/08/18,01/08/18,
Buenaventura,106,"304,000","228,000",72,01/08/18,01/08/18,
Cali,140,"403,000","302,000",74,01/08/18,01/08/18,
Cartagena,170,"488,000","366,000",75,01/08/18,01/08/18,
Cucuta,107,"308,000","231,000",70,01/08/18,01/08/18,
Medellin,143,"412,000","309,000",74,01/08/18,01/08/18,
Monteria,88,"252,000","189,000",68,01/08/18,01/08/18,
Neiva,92,"263,000","197,000",70,01/08/18,01/08/18,
Paipa,134,"386,000","290,000",73,01/08/18,01/08/18,
Riohacha,101,"291,000","218,000",72,01/08/18,01/08/18,
San Andres,130,"374,000","281,000",70,01/08/18,01/08/18,
Santa Marta,122,"351,000","263,000",70,01/08/18,01/08/18,
Villa de Leyva,159,"457,000","343,000",72,01/08/18,01/08/18,
Villavicencio,93,"267,000","200,000",68,01/08/18,01/08/18,
Elsewhere,98,"282,000","212,000",73,01/08/18,01/08/18,
Comoros (Comoros Franc),,,,,,,
Moroni,226,"95,200","71,400",55,01/08/18,01/07/17,
Elsewhere,137,"57,400","43,100",52,01/08/18,01/07/17,
Congo (CFA Franc(XAF)),,,,,,,
Brazzaville,271,"152,000","114,000",62,01/08/18,01/04/17,
"Brazzaville (Hotel Ledger, Olympic Palace, Radisson Blu)",455,"255,000","191,000",63,01/08/18,01/04/17,1
Dolisie,228,"128,000","96,000",59,01/08/18,01/04/17,
Ollombo (Alima Palace),492,"276,000","207,000",58,01/08/18,01/04/17,1
Owando,168,"94,300","70,700",52,01/08/18,01/04/17,
Pointe-Noire,328,"184,000","138,000",70,01/08/18,01/04/17,
Elsewhere,143,"80,400","60,300",53,01/08/18,01/04/17,
"Congo, Dem. Rep. (Franc Congolais)",,,,,,,
Kinshasa,283,"459,000","344,000",63,01/08/18,01/06/18,
"Kinshasa (Fleueve Congo, Pullman Grand)",410,"665,000","499,000",63,01/08/18,01/06/18,1
Bandundu,144,"233,000","175,000",59,01/08/18,01/06/18,
Boma,157,"254,000","191,000",57,01/08/18,01/05/18,
Bukavu,205,"332,000","250,000",61,01/08/18,01/05/18,
Bunia,150,"243,000","183,000",65,01/08/18,01/08/16,
Goma,205,"332,000","250,000",61,01/08/18,01/08/16,
Kananga,154,"250,000","188,000",68,01/08/18,01/08/16,
Kindu,178,"289,000","217,000",59,01/08/18,01/05/18,
Kisangani,161,"261,000","196,000",58,01/08/18,01/05/18,
Lubumbashi,218,"353,000","266,000",60,01/08/18,01/06/18,
Matadi,183,"297,000","222,000",57,01/08/18,01/05/18,
Mbandaka,150,"243,000","183,000",53,01/08/18,01/11/16,
Mbuji-Mayi,158,"256,000","193,000",64,01/08/18,01/05/18,
Zongo (Seli Safari Zongo),253,"410,000","308,000",59,01/08/18,01/04/15,1
Elsewhere,141,"229,000","172,000",58,01/08/18,01/04/15,
Cook Islands (NZE Dollar),,,,,,,
Rarotonga,314,460,346,61,01/08/18,01/11/16,
Elsewhere,251,368,276,55,01/08/18,01/11/16,
Costa Rica (COS Colon),,,,,,,
San Jose,212,"120,000","90,300",56,01/08/18,01/08/17,
Guanacaste,238,"135,000","102,000",59,01/08/18,01/08/17,
Limon,220,"125,000","93,700",57,01/08/18,01/08/17,
Puntarenas,245,"139,000","104,000",66,01/08/18,01/08/17,
Elsewhere,169,"95,900","72,100",59,01/08/18,01/08/17,
Cote d Ivoire (CFA Franc(XOF)),,,,,,,
Abidjan,214,"120,000","90,000",51,01/08/18,01/04/18,
"Abidjan (Azalai, Novotel and Tiama)",359,"201,000","151,000",53,01/08/18,01/04/18,1
Abidjan (Radisson Blu & Sofitel Ivoire),410,"230,000","173,000",55,01/08/18,01/04/18,1
Abidjan (Seen Hotel Abidjan Plateau),244,"137,000","103,000",59,01/08/18,01/06/18,1
Assinie,232,"130,000","97,500",46,01/08/18,01/04/18,
Assinie (Coucoue Lodge),277,"155,000","116,000",48,01/08/18,01/04/18,1
Grand Bassam,139,"78,000","58,500",42,01/08/18,01/04/18,
Grand Bassam (Afrikaland),186,"104,000","78,000",58,01/08/18,01/04/18,1
San Pedro (Sophia),162,"90,900","68,200",47,01/08/18,01/04/18,1
Yamoussokro (HP Resort & President),193,"108,000","81,000",45,01/08/18,01/04/18,1
Elsewhere,115,"64,700","48,500",42,01/08/18,01/04/18,
"Croatia, Republic of (Kuna)",,,,,,,
Zagreb,220,"1,390","1,040",50,01/08/18,01/07/18,
"Zagreb (Esplanade, Sheraton, Westin)",321,"2,030","1,520",49,01/08/18,01/07/18,1
Brijuni,280,"1,770","1,330",59,01/08/18,01/07/18,
Dubrovnik,309,"1,950","1,470",64,01/08/18,01/07/18,
Opatija,291,"1,840","1,380",57,01/08/18,01/07/18,
Sibenik,363,"2,300","1,720",70,01/08/18,01/07/18,
Split,370,"2,340","1,760",55,01/08/18,01/07/18,
Zadar,313,"1,980","1,490",60,01/08/18,01/07/18,
Elsewhere,180,"1,140",850,56,01/08/18,01/07/18,
Cuba (Cuban Peso),,,,,,,
Havana,256,253,253,71,01/06/18,01/06/18,
Cienfuegos,159,157,157,67,01/06/18,01/06/18,
Santiago De Cuba,128,127,127,63,01/06/18,01/06/18,
Varadero,193,191,191,87,01/06/18,01/06/18,7
Elsewhere,122,121,121,64,01/06/18,01/06/18,
Curacao (N.A. Gulder),,,,,,,
All Areas (15 April - 15 December),288,530,401,55,01/08/18,01/06/17,
All Areas (16 December - 14 April),322,600,449,58,01/08/18,01/06/17,
Cyprus (Euro),,,,,,,
Nicosia,186,159,119,53,01/08/18,01/08/18,
"Larnaca, Limassol, Pafos",256,219,164,67,01/08/18,01/08/18,
Elsewhere,170,145,109,55,01/08/18,01/08/18,
Czech Republic (Czech Koruna),,,,,,,
Prague,275,"6,030","4,510",64,01/08/18,01/05/18,
Brno,169,"3,700","2,780",63,01/08/18,01/05/18,
Cesky Krumlov,177,"3,880","2,910",62,01/08/18,01/05/18,
Karlovy Vary,283,"6,200","4,640",63,01/08/18,01/06/18,
Ostrava,130,"2,850","2,150",61,01/08/18,01/05/18,
Elsewhere,118,"2,590","1,950",62,01/08/18,01/05/18,
Denmark (Danish Krone),,,,,,,
All Areas,388,"2,470","1,850",45,01/08/18,01/08/16,
Djibouti (Djibouti Francs),,,,,,,
Djibouti,187,"33,100","24,800",54,01/04/17,01/07/16,
Djibouti (Bavaria Les Acacias),277,"49,000","36,800",60,01/04/17,01/07/16,1
Djibouti (Djibouti Palace Kempinski),398,"70,500","52,900",67,01/04/17,01/07/16,1
Djibouti (Sheraton),294,"52,000","39,000",62,01/04/17,01/07/16,1
Tadjourah,124,"21,900","16,400",53,01/04/17,01/07/16,
Elsewhere,115,"20,400","15,300",56,01/04/17,01/07/16,
Dominica (E.C. Dollar),,,,,,,
All Areas,393,"1,060",800,55,01/10/17,01/10/17,
Dominican Republic (Dominican Peso),,,,,,,
Santo Domingo,253,"12,600","9,440",60,01/08/18,01/12/17,
Barahona,99,"4,920","3,680",73,01/08/18,01/12/17,
Barahona (Casa Bonita Tropical Lodge),425,"21,100","15,800",60,01/08/18,01/12/17,1
Bavaro/Punta Cana,307,"15,200","11,400",87,01/08/18,01/12/17,7
Bayanhibe,217,"10,800","8,100",87,01/08/18,01/12/17,7
Boca Chica (formerly East Santo Domingo),128,"6,360","4,770",86,01/08/18,01/12/17,7
Constanza,85,"4,220","3,180",69,01/08/18,01/12/17,
Jarabacoa,86,"4,270","3,230",73,01/08/18,01/12/17,
Juan Dolio,154,"7,650","5,760",87,01/08/18,01/12/17,7
La Romana,163,"8,100","6,060",87,01/08/18,01/12/17,7
La Romana (Gran Bahia),310,"15,400","11,600",87,01/08/18,01/12/17,"1,7"
Montecristi,201,"9,980","7,500",69,01/08/18,01/12/17,
Puerto Plata,178,"8,840","6,660",87,01/08/18,01/12/17,7
Samana,204,"10,100","7,600",87,01/08/18,01/12/17,7
Santiago,209,"10,400","7,800",77,01/08/18,01/12/17,
Elsewhere,63,"3,130","2,330",64,01/08/18,01/12/17,
Ecuador (US Dollar),,,,,,,
Quito,177,177,133,56,01/01/18,01/01/18,
Quito (JW Marriott),217,217,163,58,01/01/18,01/01/18,1
Cuenca,172,172,129,51,01/01/18,01/01/18,
Galapagos,225,225,169,55,01/01/18,01/01/18,
Galapagos (Red Mangrove),500,500,375,68,01/01/18,01/01/18,1
Guayaquil,244,244,183,61,01/01/18,01/01/18,
Manta,205,205,154,54,01/01/18,01/01/18,
Santo Domingo,179,179,134,50,01/01/18,01/01/18,
Elsewhere,132,132,99,51,01/01/18,01/01/18,
Egypt (Egyptian Pound),,,,,,,
Cairo,278,"4,980","3,740",58,01/08/18,01/08/18,
Alexandria,228,"4,080","3,060",68,01/08/18,01/08/18,
Aswan and Luxor,275,"4,920","3,690",52,01/08/18,01/08/18,
Ismailia,185,"3,310","2,490",73,01/08/18,01/08/18,
Sahl Hasheesh (Baron Palace),204,"3,650","2,740",87,01/08/18,01/08/18,"1,7"
